"reference","comparison","n","ME","MAE","MRE","RMSE","Pearson_r","slope_no_intercept","R2_no_intercept"
"cnviirs","nasa",45968,0.160795125384513,1.31084527384186,0.430994319819469,4.34017385853538,0.961823885536531,0.890312361808619,0.9384059802304
"cnviirs","eog_vnl",46125,-0.142112653873154,1.1700716437867,0.107928310528632,4.56059703098926,0.948957161323856,0.917747897863013,0.923404078526981
"cnviirs","nppviirs",46257,0.635501153392885,1.24848741030952,0.433652408937266,4.16748515865783,0.956904042632455,0.95601618059123,0.931613799819662
"nasa","eog_vnl",46088,-0.303519510358509,1.8541624232468,0.832215833189494,4.00844649693691,0.965777016273274,1.01035749244159,0.945358322099122
"nasa","nppviirs",45976,0.475800559484348,1.31969248787808,0.472873751543521,3.26488170271298,0.979095939440115,1.05961328835425,0.966806203736371
"eog_vnl","nppviirs",46028,0.77901651770676,1.78117271264949,0.539514160343967,4.35138542861037,0.955568616781341,1.00036115534433,0.930389832896216
