pair,left,right,me,mae,mre,rmse,correlation,valid_cells
reference__vs__comparison_a,reference,comparison_a,-6.097195383397577,6.85144593057075,0.09391360875601937,8.207794300011457,0.9714441502726647,4731
reference__vs__comparison_b,reference,comparison_b,8.294735994403993,9.243987114336633,0.12408558164019409,11.14788712686214,0.9384244151937204,4731
reference__vs__comparison_c,reference,comparison_c,-9.446220607570698,10.423674844343914,0.14156543722335033,13.025537879023084,0.9430572766469232,4731
comparison_a__vs__comparison_b,comparison_a,comparison_b,14.391931377801573,14.76875053590583,0.17949892319044883,16.939700258277423,0.9209371169056696,4731
comparison_a__vs__comparison_c,comparison_a,comparison_c,-3.3490252241731193,8.349709921092947,0.10743309613943107,10.422211623959937,0.9236618685230281,4731
comparison_b__vs__comparison_c,comparison_b,comparison_c,-17.74095660197469,18.181105446397606,0.29077402686242637,21.276831179231852,0.8929116164470811,4731
